city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1283285,Jumla,NP,29.2747,82.1838,04/30/21,            47.55,80,60,3.98
4030556,Rikitea,PF,-23.1203,-134.9692,04/30/21,            78.78,78,91,20.4
2381334,Atar,MR,20.5169,-13.0499,04/30/21,            83.7,18,34,4.74
6167817,Torbay,CA,47.6666,-52.7314,04/30/21,            38.1,87,90,13.8
2023469,Markova,RU,52.2132,104.2054,04/30/21,            33.8,93,40,2.24
3139597,Sistranda,NO,63.7256,8.834,04/30/21,            39.2,75,75,5.75
3466165,Cidreira,BR,-30.1811,-50.2056,04/30/21,            68.92,71,0,15.84
1816336,Binzhou,CN,37.3667,118.0167,04/30/21,            48.31,60,0,10.02
5983720,Iqaluit,CA,63.7506,-68.5145,04/30/21,            35.29,75,90,16.11
1528998,Yumen,CN,40.2833,97.2,04/30/21,            61.99,12,96,4.72
152451,Musoma,TZ,-1.5,33.8,04/30/21,            73.4,83,40,2.17
4034551,Faanui,PF,-16.4833,-151.75,04/30/21,            80.29,74,100,2.26
3652764,Puerto Ayora,EC,-0.7393,-90.3518,04/30/21,            82.4,61,20,13.8
3430863,Mar del Plata,AR,-38.0023,-57.5575,04/30/21,            63.21,77,0,6.91
2155415,New Norfolk,AU,-42.7826,147.0587,04/30/21,            49.78,81,75,10.36
3370903,Jamestown,SH,-15.9387,-5.7168,04/30/21,            70.03,78,14,12.15
2108502,Honiara,SB,-9.4333,159.95,04/30/21,            83.91,66,100,4.94
2206939,Bluff,NZ,-46.6,168.3333,04/30/21,            48,87,95,4
2126123,Chokurdakh,RU,70.6333,147.9167,04/30/21,            16.47,86,22,4.97
1491230,Sovetskiy,RU,61.3614,63.5842,04/30/21,            25.79,90,12,3.74
6154159,Springdale,CA,49.5,-56.0649,04/30/21,            44.44,81,100,8.95
5282297,Bethel,US,41.3712,-73.414,04/30/21,            59.65,29,20,18.41
100926,Umluj,SA,25.0213,37.2685,04/30/21,            85.05,36,0,7.87
2964782,Dingle,IE,52.1408,-10.2689,04/30/21,            44.71,75,13,4.72
5528182,Pecos,US,31.4229,-103.4932,04/30/21,            59,82,75,8.05
2075720,Broome,AU,-17.9667,122.2333,04/30/21,            75.2,100,90,6.73
2181625,Te Anau,NZ,-45.4167,167.7167,04/30/21,            46.6,77,93,0.81
2025630,Chara,RU,56.9064,118.2631,04/30/21,            28.2,85,98,2.35
2163355,Hobart,AU,-42.8794,147.3294,04/30/21,            49.75,81,75,10.36
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,04/30/21,            60.57,63,90,14.97
3133472,Hellvik,NO,59.9156,5.781,04/30/21,            41.74,76,45,1.99
2206900,Westport,NZ,-41.7526,171.6037,04/30/21,            57.72,72,9,2.06
3833367,Ushuaia,AR,-54.8,-68.3,04/30/21,            39.2,87,75,6.91
3450909,Rondonópolis,BR,-16.4708,-54.6356,04/30/21,            81.68,38,100,1.5
3374346,Ponta do Sol,CV,17.1994,-25.0919,04/30/21,            71.6,68,20,19.57
1525798,Balkhash,KZ,46.844,74.9804,04/30/21,            50.88,60,91,10.4
4035715,Avarua,CK,-21.2078,-159.775,04/30/21,            80.6,74,40,5.75
935215,Saint-Philippe,RE,-21.3585,55.7679,04/30/21,            70.95,78,40,4.61
3369157,Cape Town,ZA,-33.9258,18.4232,04/30/21,            57.6,77,0,10.36
1267390,Kavaratti,IN,10.5669,72.642,04/30/21,            83.84,75,11,8.16
5870133,Nome,US,64.5011,-165.4064,04/30/21,            24.93,58,40,4.61
1259385,Port Blair,IN,11.6667,92.75,04/30/21,            81.07,74,100,1.41
5847411,Kahului,US,20.8947,-156.47,04/30/21,            76.33,69,40,20.71
3669947,San Diego,CO,10.3343,-73.18,04/30/21,            80.78,69,100,0.2
964420,Port Elizabeth,ZA,-33.918,25.5701,04/30/21,            57.2,62,0,10.36
6165406,Thompson,CA,55.7435,-97.8558,04/30/21,            39.2,56,90,4.61
5848280,Kapaa,US,22.0752,-159.319,04/30/21,            76.42,65,90,13.8
1054192,Vavatenina,MG,-17.4667,49.2,04/30/21,            69.37,97,45,2.48
3625066,Zaraza,VE,9.3503,-65.3245,04/30/21,            80.89,62,99,0.56
